NAME;CODE;IP1;IP2;IP3
VARAŽDIN-JALKOVEC;930200;10.199.32.65;10.199.32.66;10.199.32.67
ZG-DANKOVE?KA-KOD TRŽNICE;930210;10.199.32.97;10.199.32.98;10.199.32.99
ZG-SELSKA-DJERNEVI?;930220;10.199.32.113;10.199.32.114;10.199.32.115
ZG-ARENA-IVE ROBI?A;930230;10.199.32.105;10.199.32.106;10.199.32.107
ZG-SESVETE-ZAGREBA?KA;930260;10.199.32.137;10.199.32.138;10.199.32.139
ZG-BOROVJE-DANE DUI?A;930270;10.199.32.153;10.199.32.154;10.199.32.155
ZG-SIGET-POTHODNIK;930310;10.199.32.161;10.199.32.162;10.199.32.163
TISAK-PLITVICE MALL;930330;10.199.32.73;10.199.32.74;10.199.32.75
KARLOVAC-SUPER KONZUM;930340;10.199.32.81;10.199.32.82;10.199.32.83
TISAKplus-ZG-KAUFLAND-PEŠ?ENICA;930350;10.99.24.1;10.99.24.11;10.99.24.12
KAUFLAND-ZABOK;930360;10.199.32.89;10.199.32.90;10.199.32.91
TISAKMEDIA VUKOVAR GOLUBICA_1;930370;10.99.24.65;10.99.24.66;10.99.24.67
VINKOVCI-KAUFLAND LOKAL;930380;10.199.32.121;10.199.32.122;10.199.32.123
RI-ZTC-LOKAL;930390;10.99.24.138;10.99.24.139;10.99.24.140
PULA-K CENTAR-ŠIJANA;930400;10.199.32.129;10.199.32.130;10.199.32.131
ROVINJ-RETAIL PARK;930410;10.199.32.145;10.199.32.146;10.199.32.147
TISAKMEDIA VUKOVAR GOLUBICA;930420;10.99.24.65;10.99.24.75;10.99.24.76
TISAKPLUS - ILICA;930430;10.99.24.202;10.99.24.203;10.99.24.204
VELIKA GORICA - TRG S.RADI?A;930440;10.199.32.201;10.199.32.202;10.199.32.203
STANKOVCI-OP?INA;930450;10.199.33.89;10.199.33.90;10.199.33.91
PULA-MAX CITY;930460;10.199.32.169;10.199.32.170;10.199.32.171
DUGOPOLJE- TOP INTERIJER;930470;10.199.32.177;10.199.32.178;10.199.32.179
VODICE - ARTINA;930480;10.199.32.233;10.199.32.234;10.199.32.235
VODICE - OBALA;930490;10.199.32.217;10.199.32.218;10.199.32.219
?AKOVO-KAUFLAND LOKAL;930500;10.199.32.241;10.199.32.242;10.199.32.243
PULA-MUSIC WEEK;930510;10.199.32.225;10.199.32.226;10.199.32.227
ST FUSION WORLD MUSIC FESTIVAL;930520;10.100.112.21;10.100.112.22;10.100.112.23
TISAKplus-RIJEKA-TOWER;930530;10.99.25.74;10.99.25.75;10.99.25.76
RI-K CENTAR-FIUME;930540;10.199.33.27;10.199.33.28;10.199.33.29
DUBROVNIK-VUKOVARSKA;930550;10.199.33.65;10.199.33.66;10.199.33.67
ZG-MZLZ-AIRSIDE;930560;10.191.0.169;10.191.0.170;10.191.0.171
?AKOVEC - JUG;930570;10.199.33.73;10.199.33.74;10.199.33.75
DUBROVNIK-PLACA 9;930580;10.199.33.137;10.199.33.138;10.199.33.139
PLO?E STJEPANA RADI?A;930590;10.199.33.121;10.199.33.122;10.199.33.123
TISAKMEDIA MORPURGO SPLIT;930600;10.100.124.1;10.100.124.10;10.100.124.11
BAKAR-GALERIJA;930610;10.199.33.145;10.199.33.146;10.199.33.147
TISAKPLUS - LUMINI VARAŽDIN;930620;-;-;-
TISAKPLUS MARMONTOVA SPLIT;930630;-;-;-
Metkovi? most V-44;918870;10.199.11.153;10.199.11.154;10.199.11.155
Karlovac , Švar?a;918880;10.191.10.49;10.191.10.50;10.191.10.51
TISAK-AVENUE MALL-LOKAL;918890;10.199.4.249;10.199.4.250;10.199.4.251
Vinkovci pošta;918900;10.191.26.193;10.191.26.194;10.191.26.195
Samobor - dom zdravlja;918910;10.191.40.129;10.191.40.130;10.191.40.131
34 ZAGREBA?KA;918920;10.199.6.145;10.199.6.146;10.199.6.147
Meštrovi?eva VŽ;918930;10.191.52.33;10.191.52.34;10.191.52.35
32 VUKOVI?EVA;918940;10.199.6.129;10.199.6.130;10.199.6.131
31 KRIŽANI?EVA;918950;10.199.6.121;10.199.6.122;10.199.6.123
Tu?epi kraj;918970;10.199.37.41;10.199.37.42;10.199.37.43
Zagreba?ka obala;918990;10.191.21.209;10.191.21.210;10.191.21.211
Bribirska obala;919000;10.191.101.193;10.191.101.194;10.191.101.195
Prizna;919010;10.199.16.145;10.199.16.146;10.199.16.147
NOVI CENTAR 2;919020;10.199.16.209;10.199.16.210;10.199.16.211
Rab trg sv.Kristofa;919030;10.199.16.201;10.199.16.202;10.199.16.203
SUHA PUNTA;919040;10.199.16.217;10.199.16.218;10.199.16.219
Mišnjak trajekt pristanište;919050;10.199.16.225;10.199.16.226;10.199.16.227
Lokal šare;919070;10.199.14.209;10.199.14.210;10.199.14.211
Plaža Imperijal;919080;10.199.14.217;10.199.14.218;10.199.14.219
Mali Lošinj Bo?ac;919090;10.191.22.161;10.191.22.162;10.191.22.163
Veli lošinj-parkiralište;919100;10.199.31.217;10.199.31.218;10.199.31.219
Drvenik Gornja Vala;919110;10.191.16.17;10.191.16.18;10.191.16.19
Pik ?akovo;919120;10.191.26.17;10.191.26.18;10.191.26.19
Smokvica Kor?ula;919130;10.199.12.41;10.199.12.42;10.199.12.43
Kutina-lokal K-325;919140;10.191.11.81;10.191.11.82;10.191.11.83
Metajna;919150;10.199.32.105;10.199.32.106;10.199.32.107
Silba;919160;10.199.32.129;10.199.32.130;10.199.32.131
Trgovinski centar;919170;10.199.13.145;10.199.13.146;10.199.13.147
Virovitica, V-33;919180;10.191.9.33;10.191.9.34;10.191.9.35
Kralja Tomislava ?azma;919190;10.199.7.105;10.199.7.106;10.199.7.107
Požega babuki?eva;919200;10.191.28.81;10.191.28.82;10.191.28.83
Ilica 133;919210;10.199.0.145;10.199.0.146;10.199.0.147
Trgova?ki centar mandi-žitnjak;919220;10.191.0.145;10.191.0.146;10.191.0.147
Mat K-07;919230;10.191.9.17;10.191.9.18;10.191.9.19
BOLNICA SV.DUH;919250;10.199.0.137;10.199.0.138;10.199.0.139
KLANJEC II TRŽ.;919260;10.199.5.65;10.199.5.66;10.199.5.67
ZABOK ŽELJ. ST.;919270;10.199.5.73;10.199.5.74;10.199.5.75
ZABOK KRAJ POL.;919280;10.199.5.81;10.199.5.82;10.199.5.83
ZABOK ŠKOLA;919290;10.191.46.225;10.191.46.226;10.191.46.227
KRAPINSKE TOPLICE;919300;10.191.47.241;10.191.47.242;10.191.47.243
Bedekov?ina;919310;10.199.5.97;10.199.5.98;10.199.5.99
KLANJEC;919320;10.199.5.89;10.199.5.90;10.199.5.91
KUMROVEC;919330;10.199.27.225;10.199.27.226;10.199.27.227
KRAPINA TRG;919340;10.199.27.233;10.199.27.234;10.199.27.235
KR. ŽELJEZ. ST.;919350;10.199.27.241;10.199.27.242;10.199.27.243
ZLATAR;919370;10.199.5.113;10.199.5.114;10.199.5.115
KONJŠ?INA;919380;10.199.5.121;10.199.5.122;10.199.5.123
OROSLAVLJE;919390;10.199.5.129;10.199.5.130;10.199.5.131
STUB. TOPLICE;919400;10.199.5.137;10.199.5.138;10.199.5.139
Donja stubica-8316;919410;10.191.6.17;10.191.6.18;10.191.6.19
Hum na sutli-8317;919420;10.191.6.33;10.191.6.34;10.191.6.35
BOLNICA KR.TOPL.;919430;10.199.5.145;10.199.5.146;10.199.5.147
ZLATAR BISTRICA;919440;10.199.5.153;10.199.5.154;10.199.5.155
SV.KRIŽ ZA?RETJE;919450;10.199.5.161;10.199.5.162;10.199.5.163
KR.AUTOB.KOLOD.;919460;10.199.5.169;10.199.5.170;10.199.5.171
KRAPINA LOKAL;919470;10.199.5.177;10.199.5.178;10.199.5.179
Gra?ac;919480;10.199.13.153;10.199.13.154;10.199.13.155
Bizovac, centar;919490;10.191.26.33;10.191.26.34;10.191.26.35
D.Selo centar kolodvors.tisak;919500;10.199.3.97;10.199.3.98;10.199.3.99
D.selo škola tisak;919510;10.191.52.113;10.191.52.114;10.191.52.115
Kloštar Ivani? 2333;919520;10.191.4.145;10.191.4.146;10.191.4.147
Ivani? Grad-centar 2338;919530;10.191.4.161;10.191.4.162;10.191.4.163
I. Grad-zelenjak 2339;919540;10.191.4.177;10.191.4.178;10.191.4.179
I. Grad-želj.stanica 2336;919550;10.191.4.193;10.191.4.194;10.191.4.195
I. Grad-autob.kol. 2337;919560;10.191.4.209;10.191.4.210;10.191.4.211
Graberje ivani?ko 2344;919570;10.191.4.225;10.191.4.226;10.191.4.227
Križ-centar 2345;919580;10.199.32.249;10.199.32.250;10.199.32.251
Novoselec-centar Tisak;919590;10.199.3.137;10.199.3.138;10.199.3.139
Vrbovec centar Tisak;919600;10.199.3.121;10.199.3.122;10.199.3.123
Vrbove?ka dubrava;919610;10.199.3.129;10.199.3.130;10.199.3.131
Vrbovec auto.kolo.tisak;919620;10.199.3.145;10.199.3.146;10.199.3.147
Vrbovec-pik,zagreba?ka;919630;10.199.4.233;10.199.4.234;10.199.4.235
Sv.Ivan Zelina Tisak;919640;10.199.3.113;10.199.3.114;10.199.3.115
V.Gorica park 6220;919650;10.191.5.1;10.191.5.2;10.191.5.3
V.Gorica tržnica 6222;919660;10.191.5.17;10.191.5.18;10.191.5.19
V.Gorica autob.kol. 6223;919670;10.191.5.33;10.191.5.34;10.191.5.35
V.Gorica želj.st. 6225;919680;10.191.5.49;10.191.5.50;10.191.5.51
Visoki brijeg 6226;919690;10.191.5.65;10.191.5.66;10.191.5.67
V.gorica slavka kolara 6227;919700;10.191.5.81;10.191.5.82;10.191.5.83
Podbrežnica 6228;919710;10.191.5.97;10.191.5.98;10.191.5.99
V.Gorica zvonimirova 6229;919720;10.191.5.113;10.191.5.114;10.191.5.115
Zelena tržnica V.G.;919730;10.191.5.177;10.191.5.178;10.191.5.179
Samobor milakovi?eva;919740;10.199.3.153;10.199.3.154;10.199.3.155
Samobor tržnica milakovi?eva;919750;10.199.3.161;10.199.3.162;10.199.3.163
Samobor želj. stanica;919760;10.199.3.169;10.199.3.170;10.199.3.171
Samobor južno naselje;919770;10.191.42.65;10.191.42.66;10.191.42.67
Bregana tisak;919780;10.199.3.193;10.199.3.194;10.199.3.195
"Samobor ""mercator centar""";919790;10.191.42.81;10.191.42.82;10.191.42.83
Samobor Kaufland;919800;10.199.4.225;10.199.4.226;10.199.4.227
Strmec tisak;919810;10.199.3.185;10.199.3.186;10.199.3.187
Sveta nedelja;919820;10.199.3.201;10.199.3.202;10.199.3.203
Kerestinec tisak;919830;10.199.3.209;10.199.3.210;10.199.3.211
Rakov potok - lokal;919840;10.199.4.193;10.199.4.194;10.199.4.195
Zapreši? inker;919850;10.191.44.177;10.191.44.178;10.191.44.179
Šenkovec;919860;10.199.33.161;10.199.33.162;10.199.33.163
Zapreši? tržnica;919870;10.191.44.209;10.191.44.210;10.191.44.211
Zapreši? kaufland;919880;10.199.4.177;10.199.4.178;10.199.4.179
Savski marof-želj. kolodvor;919890;10.191.44.225;10.191.44.226;10.191.44.227
Zapreši? - a. mihanovi?a;919900;10.191.44.241;10.191.44.242;10.191.44.243
Psihijatrijska bolnica vrap?e;919910;10.191.45.225;10.191.45.226;10.191.45.227
PULJSKA-OZALJSKA;919920;10.191.2.33;10.191.2.34;10.191.2.35
REMIZA;919930;10.191.49.1;10.191.49.2;10.191.49.3
?rnomerec 2;919940;10.199.39.129;10.199.39.130;10.199.39.131
KUSTOŠIJA;919950;10.191.49.17;10.191.49.18;10.191.49.19
VRAP?E;919960;10.191.49.33;10.191.49.34;10.191.49.35
GAJNICE 1  S. ALLENDWA-A;919970;10.191.3.49;10.191.3.50;10.191.3.51
?RNOMEREC 4 TERMINAL;919980;10.199.35.25;10.199.35.26;10.199.35.27
DRVINJE BAŠTIJANOVA;919990;10.191.49.49;10.191.49.50;10.191.49.51
Baštijanova most;920000;10.199.28.169;10.199.28.170;10.199.28.171
?rnomerec 1;920010;10.191.2.193;10.191.2.194;10.191.2.195
?RNOMEREC 3;920020;10.191.49.177;10.191.49.178;10.191.49.179
ZAGREBA?KA;920030;10.191.3.81;10.191.3.82;10.191.3.83
STENJEVEC;920040;10.191.46.17;10.191.46.18;10.191.46.19
PODSUSED;920050;10.191.3.33;10.191.3.34;10.191.3.35
GAJNICE 2 A. GRAMSCIA;920060;10.191.3.65;10.191.3.66;10.191.3.67
GAJNICE 3 ŠPANJ. BORACA;920070;10.191.45.241;10.191.45.242;10.191.45.243
SAMOBORSKA CESTA 132;920080;10.191.46.1;10.191.46.2;10.191.46.3
ŠPANSKO JUG KOD ŠKOLE;920090;10.191.46.33;10.191.46.34;10.191.46.35
ŠPANSKO 3 ŠIŽGORI?EVA;920100;10.191.49.193;10.191.49.194;10.191.49.195
PEVEC JANKOMIR LOKAL;920110;10.199.33.121;10.199.33.122;10.199.33.123
BOŠKOVI?EVA-KRALJA DRŽISLAVA;920120;10.199.0.201;10.199.0.202;10.199.0.203
Hatzova-Draškovi?eva K-0012;920130;10.199.29.193;10.199.29.194;10.199.29.195
Astorija-ra?kog K-0013;920140;10.191.1.1;10.191.1.2;10.191.1.3
Trg žrtava fašizma-k 0014;920150;10.191.45.209;10.191.45.210;10.191.45.211
Kneza višeslava K-0018;920160;10.191.1.49;10.191.1.50;10.191.1.51
BRANIMIROVA DOMAGOJEVA;920170;10.199.1.1;10.199.1.2;10.199.1.3
Marti?eva-bauerova K-0015;920180;10.191.1.33;10.191.1.34;10.191.1.35
Gup?eva Zvijezda;920200;10.199.0.217;10.199.0.218;10.199.0.219
MIHALJEVAC;920210;10.199.0.225;10.199.0.226;10.199.0.227
Gl.kol.- peron K-1501;920220;10.191.1.97;10.191.1.98;10.191.1.99
Gl.kol.- sjever K-1503;920230;10.199.29.201;10.199.29.202;10.199.29.203
Gl.kol.- Westibil K-1504;920240;10.199.35.217;10.199.35.218;10.199.35.219
Gl.kol.- Tram.stanica K-1505;920250;10.199.29.73;10.199.29.74;10.199.29.75
BRANIMIROVA PETRINJSKA;920260;10.199.0.249;10.199.0.250;10.199.0.251
Importanne Centar-1542;920270;10.199.35.209;10.199.35.210;10.199.35.211
Gl.kol.podh.-bus termi.-1525;920280;10.191.1.225;10.191.1.226;10.191.1.227
Gl.kol.- podhodnik jug K-1506;920290;10.199.63.249;10.199.63.250;10.199.63.251
SREDNJACI;920300;10.191.49.65;10.191.49.66;10.191.49.67
KNEŽIJA1-KIKI?EVA;920310;10.191.49.225;10.191.49.226;10.191.49.227
BRA?E DOMANI;920320;10.191.49.209;10.191.49.210;10.191.49.211
JARUN HRGOVI?I;920330;10.191.49.81;10.191.49.82;10.191.49.83
JARUN-PIAZZE;920340;10.191.46.49;10.191.46.50;10.191.46.51
MACANOVI?A HRGOVI?I;920350;10.191.49.97;10.191.49.98;10.191.49.99
Jarun RŠC Petrine;920360;10.199.41.25;10.199.41.26;10.199.41.27
PRE?KO 1;920370;10.199.30.153;10.199.30.154;10.199.30.155
PRE?KO 2;920380;10.191.46.65;10.191.46.66;10.191.46.67
VRBANI RUDEŠKA;920390;10.191.49.113;10.191.49.114;10.191.49.115
PRE?KO TRŽNICA LOKAL;920400;10.199.4.17;10.199.4.18;10.199.4.19
Blato Vlasinj V-47;920410;10.199.12.49;10.199.12.50;10.199.12.51
Kolonija k-17;920430;10.199.22.49;10.199.22.50;10.199.22.51
Karlovac-grabrik;920440;10.191.48.113;10.191.48.114;10.191.48.115
Lokal županijska bolnica;920450;10.199.30.97;10.199.30.98;10.199.30.99
I. PL. ZAJCA ?K;920460;10.191.47.161;10.191.47.162;10.191.47.163
Lokal ?akovec;920470;10.191.7.241;10.191.7.242;10.191.7.243
AS Viškovo;920480;10.191.21.33;10.191.21.34;10.191.21.35
Mrkopalj;920490;10.191.21.49;10.191.21.50;10.191.21.51
Lokve;920500;10.191.37.225;10.191.37.226;10.191.37.227
Lokal hebrang k-18;920510;10.199.22.41;10.199.22.42;10.199.22.43
Pevec;920520;10.191.11.97;10.191.11.98;10.191.11.99
Tobacco, Vinkovci;920530;10.191.26.225;10.191.26.226;10.191.26.227
BOLNICA BRA?AK;920540;10.191.46.81;10.191.46.82;10.191.46.83
Op?a bolnica Šibenik;920550;10.199.14.225;10.199.14.226;10.199.14.227
Pevec;920560;10.191.29.49;10.191.29.50;10.191.29.51
PETRINJSKA LOKAL;920580;10.199.5.17;10.199.5.18;10.199.5.19
Lokal Duga;920670;10.191.39.97;10.191.39.98;10.191.39.99
NOVALJA 1;920680;10.191.37.17;10.191.37.18;10.191.37.19
Europa ipk;920690;10.191.38.209;10.191.38.210;10.191.38.211
Bazar hr;920700;10.191.44.145;10.191.44.146;10.191.44.147
Rokova;920710;10.191.43.177;10.191.43.178;10.191.43.179
Vukovar-bolnica istok;920720;10.191.30.161;10.191.30.162;10.191.30.163
Vijenac Petrove gore;920730;10.191.44.161;10.191.44.162;10.191.44.163
Autobusna postaja;920740;10.191.38.225;10.191.38.226;10.191.38.227
OS-NEIMANOVA-TRŽNICA;920750;10.191.43.193;10.191.43.194;10.191.43.195
Vijenac Ivana Meštrovi?a;920760;10.191.43.209;10.191.43.210;10.191.43.211
Drvljanik bus;920770;10.199.22.249;10.199.22.250;10.199.22.251
Vatrogasna;920780;10.191.43.225;10.191.43.226;10.191.43.227
Bolnica istok;920790;10.199.23.9;10.199.23.10;10.199.23.11
Saponia Osijek 052;920800;10.199.23.17;10.199.23.18;10.199.23.19
V-27 peja?evi?ev trg, našice;920820;10.199.23.33;10.199.23.34;10.199.23.35
?AKOVO-ANTE STAR?EVI?A;920830;10.191.29.225;10.191.29.226;10.191.29.227
Centar ?akovo;920840;10.191.29.241;10.191.29.242;10.191.29.243
Tržnica ?akovo;920850;10.191.29.209;10.191.29.210;10.191.29.211
Veliki kraj Županja;920860;10.191.52.225;10.191.52.226;10.191.52.227
Ekonomski faks;920870;10.191.52.97;10.191.52.98;10.191.52.99
Bosut vinkovci;920880;10.191.30.113;10.191.30.114;10.191.30.115
Park Beli manastir;920890;10.199.23.57;10.199.23.58;10.199.23.59
Tvr?a;920900;10.199.23.65;10.199.23.66;10.199.23.67
Hž ?ekaonica;920920;10.199.27.249;10.199.27.250;10.199.27.251
Pred crkvom;920930;10.191.30.97;10.191.30.98;10.191.30.99
Zatvor;920940;10.191.30.1;10.191.30.2;10.191.30.3
Glas slavonije;920950;10.191.30.33;10.191.30.34;10.191.30.35
OS-TRG A. STAR?EVI?A-KIOSK;920960;10.191.30.65;10.191.30.66;10.191.30.67
Kozja?ka;920970;10.191.30.49;10.191.30.50;10.191.30.51
Lovac;920980;10.191.30.81;10.191.30.82;10.191.30.83
Kod Dome;920990;10.199.28.1;10.199.28.2;10.199.28.3
Lio 015;921000;10.199.28.9;10.199.28.10;10.199.28.11
Ekonomska škola Vinkovci;921010;10.191.30.145;10.191.30.146;10.191.30.147
Diskont vinkovci;921020;10.191.30.129;10.191.30.130;10.191.30.131
Korzo Beli Manastir;921030;10.199.28.17;10.199.28.18;10.199.28.19
Op?ina Beli Manastir;921040;10.199.22.185;10.199.22.186;10.199.22.187
Duga Resa 2;921050;10.191.39.177;10.191.39.178;10.191.39.179
MUP - KUSTOŠIJA;921060;10.191.47.33;10.191.47.34;10.191.47.35
Sisak stari most;921080;10.191.40.1;10.191.40.2;10.191.40.3
Gospi?- kaniška;921090;10.191.39.193;10.191.39.194;10.191.39.195
Ivani? Grad - dom zdravlja;921100;10.191.40.193;10.191.40.194;10.191.40.195
Vrbovec - dom zdravlja;921110;10.191.40.225;10.191.40.226;10.191.40.227
Kantrida bazeni K-62;921120;10.191.37.161;10.191.37.162;10.191.37.163
Tisakmedia Opatija;921130;10.100.110.1;10.100.110.11;10.100.110.12
RK VEŽICA;921140;10.191.37.177;10.191.37.178;10.191.37.179
Karlovac - gunduli?eva;921150;10.191.39.161;10.191.39.162;10.191.39.163
Petra Sva?i?a;921160;10.191.39.113;10.191.39.114;10.191.39.115
Juriši?eva Virovitica;921170;10.191.46.241;10.191.46.242;10.191.46.243
SRA?INEC;921180;10.191.47.97;10.191.47.98;10.191.47.99
JALKOVE?KA;921190;10.191.46.209;10.191.46.210;10.191.46.211
VINICA;921200;10.191.47.113;10.191.47.114;10.191.47.115
TRNOVEC;921210;10.191.47.129;10.191.47.130;10.191.47.131
RADI?EVA;921220;10.191.47.145;10.191.47.146;10.191.47.147
V-26 tržnica Našice;921230;10.191.39.33;10.191.39.34;10.191.39.35
Dugiš;921240;10.191.41.33;10.191.41.34;10.191.41.35
Sisak-tržnica-kontroba;921250;10.191.40.17;10.191.40.18;10.191.40.19
Sisak-peron;921260;10.191.40.33;10.191.40.34;10.191.40.35
Roto k-22;921270;10.191.39.145;10.191.39.146;10.191.39.147
?epin škola;921280;10.191.39.65;10.191.39.66;10.191.39.67
Placa gruž;921290;10.199.22.65;10.199.22.66;10.199.22.67
Dom zdravlja;921300;10.191.29.81;10.191.29.82;10.191.29.83
Ilijina glavica;921310;10.199.22.73;10.199.22.74;10.199.22.75
Aut.kol. duhan;921320;10.191.29.97;10.191.29.98;10.191.29.99
Ston duhan;921330;10.199.22.137;10.199.22.138;10.199.22.139
Lapad duhan;921340;10.199.22.81;10.199.22.82;10.199.22.83
Batala;921350;10.191.29.113;10.191.29.114;10.191.29.115
TOMMY K-26;921360;10.191.52.145;10.191.52.146;10.191.52.147
Gruž duhan;921370;10.199.22.89;10.199.22.90;10.199.22.91
Min?eta;921380;10.199.22.97;10.199.22.98;10.199.22.99
Buža;921390;;;
Igralište lapad;921400;10.191.29.129;10.191.29.130;10.191.29.131
Pile;921410;10.191.29.145;10.191.29.146;10.191.29.147
Hotel petka;921420;10.199.22.113;10.199.22.114;10.199.22.115
Pile ?ekaonica;921430;10.191.29.161;10.191.29.162;10.191.29.163
Plo?e;921440;10.199.22.121;10.199.22.122;10.199.22.123
Hotel lapad;921450;10.191.29.193;10.191.29.194;10.191.29.195
Dubrovnik Dvori;921460;10.199.37.33;10.199.37.34;10.199.37.35
Hladnica;921470;10.191.29.177;10.191.29.178;10.191.29.179
Veleu?ilište;921480;10.199.22.129;10.199.22.130;10.199.22.131
Lokal 1 nova tržnica;921490;10.191.41.113;10.191.41.114;10.191.41.115
Dugo selo - dom zdravlja;921500;10.191.40.209;10.191.40.210;10.191.40.211
Samobor - lokal;921510;10.191.40.145;10.191.40.146;10.191.40.147
V.Gorica - dom zdravlja;921520;10.191.40.97;10.191.40.98;10.191.40.99
Srebreno;921530;10.191.29.65;10.191.29.66;10.191.29.67
Omiš Kala;921540;10.191.37.1;10.191.37.2;10.191.37.3
MAKSIMIRSKA - SVETICE;921550;10.191.46.177;10.191.46.178;10.191.46.179
TISAK - SUPERKONZUM DUBEC;921560;10.199.42.161;10.199.42.162;10.199.42.163
SUPERKONZUM ?RNOMEREC;921570;10.191.47.49;10.191.47.50;10.191.47.51
Županija Virovitica;921580;10.191.47.1;10.191.47.2;10.191.47.3
FERENŠ?ICA  I;921590;10.199.28.225;10.199.28.226;10.199.28.227
OMIŠKA - PAPOVA;921600;10.199.28.145;10.199.28.146;10.199.28.147
TRNSKO - DJ. VRTI?;921610;10.199.28.161;10.199.28.162;10.199.28.163
SOPOT - PI?MANOVA;921630;10.199.28.153;10.199.28.154;10.199.28.155
ZAGREBA?KA  II;921640;10.191.46.97;10.191.46.98;10.191.46.99
Tržnica lokal 2;921650;10.191.41.129;10.191.41.130;10.191.41.131
Novalja Primorska;921660;10.199.36.137;10.199.36.138;10.199.36.139
SUPERKONZUM ŠPANSKO;921670;10.191.46.161;10.191.46.162;10.191.46.163
Bakar Lokal;921680;10.191.37.113;10.191.37.114;10.191.37.115
KOD POGLAVARSTVA;921690;10.191.37.97;10.191.37.98;10.191.37.99
Šetalište V. Nazora;921700;10.191.37.145;10.191.37.146;10.191.37.147
Sisak porezna k-16;921710;10.191.40.49;10.191.40.50;10.191.40.51
TISAKMEDIA POTHODNIK;921730;10.100.98.1;10.100.98.11;10.100.98.12
Tisakmedia Hvar;921750;10.100.94.1;10.100.94.11;10.100.94.12
V-43 dimnja?ar, trg sv josipa 1, slatina;921770;10.191.39.49;10.191.39.50;10.191.39.51
Tisakmedia Pula;921780;10.100.90.1;10.100.90.11;10.100.90.12
Samobor - vo?arska;921810;10.199.28.241;10.199.28.242;10.199.28.243
KOD DOMA ZDRAVLJA;921820;10.191.37.129;10.191.37.130;10.191.37.131
Novigrad hotel Laguna;921830;10.191.45.177;10.191.45.178;10.191.45.179
MA?E;921840;10.191.48.1;10.191.48.2;10.191.48.3
DUBOVEC II;921850;10.191.47.209;10.191.47.210;10.191.47.211
MEŠTROVI?EVA;921860;10.191.47.225;10.191.47.226;10.191.47.227
Zapreši? - želj.kolodvor;921870;10.191.40.241;10.191.40.242;10.191.40.243
Pitoma?a Žabac;921880;10.191.47.17;10.191.47.18;10.191.47.19
Sjenjak;921890;10.191.45.97;10.191.45.98;10.191.45.99
Jagodnjak;921900;10.191.39.81;10.191.39.82;10.191.39.83
BIJELO BRDO;921910;10.191.45.49;10.191.45.50;10.191.45.51
HRUSTA CRIKVENICA;921920;10.191.38.17;10.191.38.18;10.191.38.19
Gospi? bilajska;921930;10.191.39.209;10.191.39.210;10.191.39.211
Oto?ac II - bana jela?i?a;921940;10.191.39.225;10.191.39.226;10.191.39.227
OSJE?KA;921950;10.191.46.113;10.191.46.114;10.191.46.115
KALVARIJA;921960;10.191.37.65;10.191.37.66;10.191.37.67
BAŠKA VODA - LOKAL;921970;10.191.41.17;10.191.41.18;10.191.41.19
Ratac;921980;10.191.41.65;10.191.41.66;10.191.41.67
RADOBOJ;921990;10.199.29.97;10.199.29.98;10.199.29.99
Hotel Argosi;922000;10.191.37.241;10.191.37.242;10.191.37.243
Orebi? Lokal;922020;10.191.41.1;10.191.41.2;10.191.41.3
NOVALJA ŠPITAL;922030;10.199.37.201;10.199.37.202;10.199.37.203
GAJAC KASTELO;922040;;;
Pokupsko;922050;10.191.40.113;10.191.40.114;10.191.40.115
Novaki samoborski;922060;10.199.28.249;10.199.28.250;10.199.28.251
BROD NA KUPI;922070;10.191.45.161;10.191.45.162;10.191.45.163
V-34 JEZERO ORAHOVICA;922080;10.199.32.65;10.199.32.66;10.199.32.67
BUZOVEC ?K;922090;10.191.47.193;10.191.47.194;10.191.47.195
SUP. KONZUM ?K;922100;10.191.47.177;10.191.47.178;10.191.47.179
KON?AR - ?EPINSKA;922120;10.191.45.81;10.191.45.82;10.191.45.83
Autobusna stanica 03;922130;10.199.16.153;10.199.16.154;10.199.16.155
Jablanac kiosk;922150;10.191.104.17;10.191.104.18;10.191.104.19
Lokal K-01;922160;10.199.16.161;10.199.16.162;10.199.16.163
Škver, Rab;922210;10.191.101.145;10.191.101.146;10.191.101.147
Lopar AC San Marino;922230;10.191.101.209;10.191.101.210;10.191.101.211
Rab tržnica;922260;10.191.104.177;10.191.104.178;10.191.104.179
Mokošica K-07;922280;10.191.14.241;10.191.14.242;10.191.14.243
Polinesija;922290;10.191.50.225;10.191.50.226;10.191.50.227
A.K. NOVI VINODOLSKI;922310;10.191.45.145;10.191.45.146;10.191.45.147
Mali Lošinj-plaža ?ikat;922320;10.191.102.17;10.191.102.18;10.191.102.19
OSOR-kiosk;922330;10.191.100.129;10.191.100.130;10.191.100.131
SESVETE III;922350;10.191.46.193;10.191.46.194;10.191.46.195
Stara Novalja;922360;10.199.38.169;10.199.38.170;10.199.38.171
?EPIN OP?INA;922380;10.191.45.65;10.191.45.66;10.191.45.67
POŠTA VUKOVAR;922390;10.191.45.129;10.191.45.130;10.191.45.131
Brdovec tisak;922400;10.191.46.145;10.191.46.146;10.191.46.147
Novi Dvori;922410;10.191.48.241;10.191.48.242;10.191.48.243
ZAPREŠI? PU?KO U?ILIŠTE;922420;10.199.28.209;10.199.28.210;10.199.28.211
